id,name,region,family,base,summary,alt_text,fermentation,fermentation_visibility,planarity,batter_identity,griddle_dependence,fillability,savory_orientation,staple_role,ritual_social_weight,technology_complexity,lineage_confidence,pancake_claim
martabak_telur,Martabak telur,Indonesia,savory_filled_pancake,wheat; egg; meat,A savory stuffed griddled pancake filled with eggs and minced meat.,Savory martabak telur sliced into squares.,0,0,4,7,8,10,10,4,6,8,10,7
msemen,Msemen,Morocco,layered_flatbread_pancake,wheat; semolina,A laminated griddled flatbread occupying the pancake-flatbread borderlands.,Square folded msemen served with tea.,0,0,5,1,9,2,4,6,5,8,10,4
frybread,Frybread,Indigenous North America,fried_flatbread,wheat,A fried flatbread with contested pancake ancestry.,Round frybread puffed and golden from hot oil.,0,0,3,2,2,5,3,5,6,4,9,2
bannock,Bannock,Scotland and Indigenous North America,griddle_flatbread,wheat; oat,"A simple flatbread cooked on a griddle, stone, or pan.",Rustic bannock beside a campfire.,0,0,4,2,7,2,3,7,6,3,10,3
tortilla,Tortilla,Mesoamerica,flatbread_relative,corn; wheat,A foundational flatbread often proposed as a pancake cousin.,Fresh tortillas stacked in a cloth-lined basket.,0,0,8,1,6,8,5,10,8,5,10,1
pita,Pita,Middle East,pocket_flatbread,wheat,A leavened flatbread with a pocket structure.,Pita bread split open to reveal its pocket.,3,1,7,1,1,10,3,8,6,6,10,1
naan,Naan,South Asia,tandoor_flatbread,wheat,A leavened flatbread baked against the wall of a tandoor.,Fresh naan blistered from a clay oven.,4,2,6,1,0,4,3,8,6,7,10,1
funnel_cake,Funnel cake,North America,fried_batter_relative,wheat; sugar,A poured batter fried into a tangled lattice.,Funnel cake dusted with powdered sugar at a fair.,0,0,8,10,0,0,0,1,3,4,10,2
waffle,Waffle,Western Europe and global,grid_cooked_batter,wheat; egg,A batter-based relative that diverged through specialized cookware.,Belgian waffle with deep pockets and berries.,1,0,4,10,0,6,1,2,4,7,10,1
takoyaki,Takoyaki,Japan,batter_ball_relative,wheat; octopus,A spherical batter food representing an extreme pancake-adjacent lineage.,Takoyaki balls topped with sauce and bonito flakes.,0,0,0,8,0,0,10,2,4,8,10,1
